Index,CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Net migration,Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178348,,,,,-495902,,,,,-276331,,,,,-116385,,,,,-99999,,,,,-50000
Population,Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7586000,7595636,7646424,7699307,7734639,7625357,7617794,7596501,7567745,7540401,7516346,7503433,7496522,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858
GDP per capita,Sub-Saharan Africa (excluding high income),SSA,129.9248385,131.9110137,139.5869413,156.2150787,148.7086654,161.6112183,170.124046,163.8785966,170.866515,190.7548985,218.6869237,216.6845921,237.8473701,296.114881,377.5180234,404.13346,426.7487731,457.1439949,491.147484,574.7883766,701.5878111,962.3584978,861.2594689,722.7746754,637.2679499,588.5012427,597.9910172,661.8669348,670.146219,662.1508741,655.0228235,647.901234,621.5673324,563.9515752,540.6448441,603.530929,606.7077516,614.1344022,577.0557899,566.97463,588.5952465,546.6559626,580.6015506,708.5850424,860.0647082,993.2094864,1150.053856,1299.420732,1449.941195,1341.957309,1556.509329,1719.343483,1761.560045,1826.267882,1866.642912,1655.90775,1494.637474,1573.497227
Life expectancy,Sub-Saharan Africa (excluding high income),SSA,40.37701245,40.81692397,41.24748833,41.66691779,42.07634037,42.47783917,42.87598831,43.27548947,43.67934849,44.08842272,44.50277212,44.92157111,45.34005876,45.75287645,46.15555309,46.54391136,46.9150059,47.26925657,47.60659482,47.92702131,48.23112061,48.5202584,48.79424941,49.05107921,49.28699452,49.49244113,49.6562344,49.77213847,49.84075592,49.87069048,49.87472981,49.87042159,49.86930274,49.87845723,49.89661813,49.92433923,49.96633996,50.03409514,50.1408522,50.3020082,50.53701023,50.86361154,51.28880199,51.81089931,52.42182381,53.10945677,53.85755444,54.63957847,55.42823167,56.2025929,56.94228256,57.63530314,58.28241288,58.8831983,59.4352274,59.93780952,60.3935628,60.81210078
Net migration,Sub-Saharan Africa (excluding high income),SSA,,,-299690,,,,,-279648,,,,,-959777,,,,,-843818,,,,,-1151878,,,,,-1166607,,,,,582965,,,,,-1473138,,,,,-1082586,,,,,-1980849,,,,,-2043930,,,,,-1723595
Population,Sub-Saharan Africa (excluding high income),SSA,228544305,233965691,239603097,245458090,251530081,257821109,264337472,271089360,278087862,285345634,292875474,300682328,308775520,317177235,325914096,335005587,344461837,354281373,364453680,374972295,385822020,397001521,408512620,420349183,432508714,444982815,457769762,470870472,484288955,498033585,512107594,526528575,541294922,556379645,571754398,587394320,603309222,619530637,636103731,653099453,670568507,688534793,707016127,726057836,745705643,765997649,786951192,808575133,830878600,853866359,877538597,901902485,926951572,952644123,978926559,1005756630,1033118066,1061011878
GDP per capita,South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.131588,1041.459694,1336.645256,1309.487381,917.9214739,237.4441185,
Life expectancy,South Sudan,SSD,31.697,32.125,32.55,32.975,33.402,33.828,34.248,34.656,35.051,35.432,35.807,36.186,36.575,36.974,37.378,37.767,38.118,38.417,38.662,38.861,39.033,39.206,39.41,39.671,40.005,40.423,40.931,41.513,42.149,42.825,43.525,44.232,44.933,45.612,46.258,46.859,47.409,47.916,48.386,48.825,49.239,49.631,50.013,50.393,50.782,51.19,51.627,52.095,52.591,53.113,53.655,54.206,54.756,55.294,55.817,56.322,56.811,57.288
Net migration,South Sudan,SSD,,,0,,,,,0,,,,,25000,,,,,60000,,,,,150000,,,,,-405000,,,,,-1076000,,,,,400000,,,,,432000,,,,,785000,,,,,425000,,,,,150000
Population,South Sudan,SSD,2955152,3011110,3069913,3131557,3196113,3263638,3334191,3407800,3484537,3564465,3647709,3734418,3824762,3918922,4017075,4119438,4224529,4332287,4445826,4569423,4705224,4853927,5011726,5170558,5319609,5450424,5565545,5666078,5741235,5777498,5768481,5705378,5599814,5490915,5431738,5459519,5591114,5814006,6099923,6405864,6700656,6974442,7237276,7501642,7787655,8108877,8468152,8856800,9263136,9670667,10067192,10448857,10818258,11177490,11530971,11882136,12230730,12575714
GDP per capita,Sub-Saharan Africa,SSF,129.9503765,131.932521,139.6100069,156.2382313,148.7388149,161.6372132,170.1497161,163.9049573,170.8871364,190.7702947,218.7011415,216.710877,237.8976351,296.1699906,377.5710491,404.1916721,426.8022983,457.2340207,491.2895722,575.0285543,701.8472527,962.5753011,861.4699891,723.0015868,637.513922,588.7887823,598.3561193,662.2973229,670.6359544,662.6702789,655.654597,648.5264683,622.2898271,564.7340798,541.4297125,604.3224059,607.4679463,614.9705092,577.9458054,567.8639511,589.4454799,547.4999706,581.5246647,709.4802743,861.09948,994.3059195,1151.225413,1300.564512,1450.953215,1342.811366,1557.453562,1720.358244,1762.535536,1827.489658,1867.840726,1657.123451,1495.882001,1574.766606
Life expectancy,Sub-Saharan Africa,SSF,40.37701245,40.81692397,41.24748833,41.66691779,42.07634037,42.47783917,42.87598831,43.27548947,43.67934849,44.08842272,44.50277212,44.92157111,45.34005876,45.75287645,46.15555309,46.54391136,46.9150059,47.26925657,47.60659482,47.92702131,48.23462337,48.52375274,48.79748603,49.05434358,49.2900266,49.4954032,49.65895891,49.77482416,49.84343336,49.87320387,49.87720413,49.87320943,49.87209283,49.88100089,49.89932154,49.92723087,49.96907485,50.03673789,50.1435299,50.30476161,50.53970081,50.86625178,51.29114625,51.81309023,52.42406201,53.11151418,53.85952794,54.64152426,55.43008756,56.20431854,56.94394527,57.63676591,58.28393628,58.88454237,59.43651461,59.93914297,60.39483799,60.81331905
Net migration,Sub-Saharan Africa,SSF,,,-300541,,,,,-280646,,,,,-959547,,,,,-844018,,,,,-1154977,,,,,-1171902,,,,,583590,,,,,-1473273,,,,,-1080073,,,,,-1983360,,,,,-2046131,,,,,-1724595
Population,Sub-Saharan Africa,SSF,228586005,234008580,239647139,245503266,251576403,257868609,264386171,271139271,278138996,285397999,292929074,300737023,308831549,317234127,325972033,335064879,344522341,354343159,364515830,375034981,385885281,397065556,408577033,420413518,432573431,445048059,457835414,470938971,484357710,498102752,512177101,526599014,541365685,556451898,571828603,587469624,603385639,619607956,636182577,653179863,670649638,688615995,707099850,726140617,745788118,766080507,787035792,808660166,830965556,853953657,877628367,901989926,927039875,952734072,979017918,1005850049,1033212743,1061107721
GDP per capita,Small states,SST,,,,,,,,,,,458.6772106,506.5497369,585.9982551,716.9288971,1094.126715,1223.799869,1372.702051,1531.805566,1618.993955,1973.015123,2564.252576,2596.403895,2531.690627,2398.131837,2327.40225,2193.752159,2106.535245,2357.484382,2546.863016,2599.110426,2965.325051,2971.570091,3112.29731,3020.527683,3129.208707,3496.712564,3668.993081,3872.622085,3810.350938,4021.835946,4388.07828,4337.599497,4568.873103,5366.928929,6358.480742,7458.866792,8506.677715,9993.013641,11801.91312,9872.03327,11119.49132,13187.4884,13509.26909,13742.03921,13857.05752,11570.00712,11174.33536,11979.44727
Life expectancy,Small states,SST,54.74907966,55.21650839,55.66449122,56.07398224,56.46803887,56.82787579,57.14675376,57.45807514,57.75818836,58.05240944,58.35395385,58.64908185,58.95132262,59.23466844,59.5171754,59.82354683,60.15929474,60.50407359,60.88519788,61.27476382,61.68384616,62.05108313,62.43893223,62.72800855,62.9979555,63.25089293,63.52073616,63.7961453,63.9410486,64.07488035,64.17532571,64.27222717,64.30082938,64.16658107,64.00019454,63.91654587,63.82853106,63.66858511,63.4017481,63.27062045,63.20370428,63.16381025,63.28458254,63.41580796,63.71258205,64.10263057,64.53557759,65.04106264,65.58405447,66.13974437,66.64690879,67.11005467,67.55230178,67.9348941,68.27946106,68.60167613,68.87665165,69.1225474
Net migration,Small states,SST,,,-344781,,,,,-353264,,,,,-355115,,,,,-408812,,,,,-256806,,,,,-284609,,,,,-600512,,,,,-433377,,,,,54465,,,,,879195,,,,,552480,,,,,269888
Population,Small states,SST,14260440,14538217,14821270,15107653,15397706,15688248,15976545,16263697,16556001,16853980,17159590,17476361,17800127,18127044,18456078,18789042,19120333,19453890,19794779,20157728,20547258,20963859,21407906,21865552,22331260,22806174,23285884,23770486,24251665,24726226,25186921,25642376,26066187,26471464,26880995,27284098,27691618,28107601,28528151,28976065,29434279,29887049,30352305,30838828,31365918,31947386,32586895,33278247,34006389,34739790,35465245,36171934,36875022,37572012,38266156,38960406,39646847,40330352
GDP per capita,Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.7871815,551.2038522,643.9490657,687.5484045,804.1279874,836.7952842,886.6695898,1126.462102,1099.571046,1129.754961,1304.326189,1380.949959,1619.528517,1824.379217,1613.483465,1771.984789,1921.284473
Life expectancy,Sao Tome and Principe,STP,50.364,50.944,51.512,52.063,52.597,53.118,53.638,54.165,54.709,55.272,55.859,56.476,57.114,57.758,58.389,58.977,59.487,59.902,60.213,60.425,60.554,60.628,60.683,60.75,60.842,60.969,61.126,61.297,61.47,61.641,61.808,61.972,62.133,62.294,62.454,62.611,62.76,62.902,63.041,63.181,63.338,63.526,63.754,64.021,64.322,64.641,64.956,65.248,65.5,65.709,65.875,66.008,66.125,66.241,66.361,66.488,66.624,66.762
Net migration,Sao Tome and Principe,STP,,,-9152,,,,,-744,,,,,-2509,,,,,-1221,,,,,-5999,,,,,-5999,,,,,-5599,,,,,-8293,,,,,-5599,,,,,-5599,,,,,-5599,,,,,-4999
Population,Sao Tome and Principe,STP,64253,64551,64432,64177,64212,64796,66063,67873,70046,72241,74253,75988,77537,79022,80670,82607,84885,87434,90089,92649,94949,96950,98706,100318,101915,103634,105474,107415,109470,111627,113893,116294,118816,121407,123973,126454,128821,131107,133418,135886,138606,141622,144889,148372,151969,155630,159328,163101,166913,170813,174776,178800,182889,187045,191266,195553,199910,204327
GDP per capita,Suriname,SUR,343.6609809,361.1815365,379.1687342,400.4412962,416.1029359,464.5969023,557.9935099,629.2212994,670.9142614,707.7863311,740.425509,807.7869589,840.1019056,921.5570228,1122.572234,1283.592625,1398.866517,1776.79667,2034.820186,2160.856058,2191.428894,2446.845111,2513.515295,2418.560088,2349.99728,2350.122486,2364.22929,2554.384941,2966.34312,1358.224946,953.1943299,1079.197333,957.0373945,997.0367941,1385.449143,1558.605119,1914.094586,2031.833255,2406.729353,1897.826561,2006.121996,1746.304178,2263.923096,2609.270561,3006.48773,3594.354364,5208.123339,5761.059439,6858.149015,7444.130075,8303.31332,8319.67216,9232.505153,9491.570453,9554.562288,8617.76176,5645.334104,5317.389539
Life expectancy,Suriname,SUR,59.66,60.026,60.386,60.749,61.117,61.491,61.867,62.239,62.599,62.943,63.268,63.568,63.844,64.1,64.339,64.57,64.806,65.054,65.315,65.587,65.863,66.128,66.371,66.582,66.758,66.902,67.019,67.12,67.214,67.305,67.393,67.478,67.554,67.62,67.677,67.722,67.751,67.768,67.781,67.798,67.838,67.918,68.051,68.239,68.48,68.768,69.089,69.422,69.749,70.057,70.335,70.578,70.79,70.976,71.138,71.279,71.405,71.523
Net migration,Suriname,SUR,,,-11050,,,,,-13862,,,,,-56820,,,,,-40352,,,,,-31771,,,,,-4845,,,,,-5195,,,,,-10189,,,,,-9124,,,,,-6485,,,,,-5000,,,,,-4999
Population,Suriname,SUR,289966,298188,306328,314528,322997,331793,341133,350751,359733,366848,371273,372623,371324,368344,365099,362654,361364,361043,361457,362125,362777,363325,364032,365300,367660,371470,376867,383654,391391,399492,407472,415216,422763,430039,437037,443724,450036,455954,461560,467003,472390,477740,483044,488332,493630,498946,504307,509705,515148,520619,526103,531589,537077,542540,547928,553208,558368,563402
GDP per capita,Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395.564582,2680.041026,2908.810832,3089.438276,3755.727737,4799.151051,5177.748864,5138.148679,5533.588845,5636.579532,5402.929754,5708.082659,6524.861878,8696.913242,10654.79371,11669.41975,13139.03218,16057.73314,18650.35912,16512.98197,16600.61359,18187.15744,17274.6423,18191.61279,18629.77966,16182.30372,16544.22781,17579.2594
Life expectancy,Slovak Republic,SVK,69.92365854,70.25085366,70.47229268,70.59492683,70.63278049,70.60336585,70.5252439,70.41853659,70.30682927,70.20570732,70.1342439,70.0994878,70.09892683,70.12507317,70.17590244,70.24487805,70.32246341,70.39860976,70.4652439,70.51990244,70.40853659,70.62926829,70.68902439,70.47902439,70.75097561,70.73463415,71.02121951,71.08878049,71.20780488,71.02634146,70.93268293,70.88292683,71.79512195,72.44878049,72.3,72.25365854,72.65365854,72.70487805,72.55121951,72.90243902,73.05121951,73.40243902,73.60487805,73.60487805,73.95853659,73.90487805,74.20487805,74.20731707,74.70487805,74.9097561,75.11219512,75.95853659,76.1097561,76.41219512,76.81219512,76.56341463,77.16585366,77.16585366
Net migration,Slovak Republic,SVK,,,-26427,,,,,-57838,,,,,-15254,,,,,-9696,,,,,-34777,,,,,-35312,,,,,-15108,,,,,-2964,,,,,1199,,,,,-8855,,,,,11346,,,,,4999
Population,Slovak Republic,SVK,4068095,4191667,4238188,4282017,4327341,4370983,4411666,4449367,4483915,4518607,4538223,4557449,4596622,4641445,4689623,4739105,4789507,4840501,4890125,4938973,4979815,5016105,5055099,5091971,5127097,5161768,5193838,5222840,5250596,5275942,5299187,5303294,5305016,5325305,5346331,5361999,5373361,5383291,5390516,5396020,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232
GDP per capita,Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10690.66523,10801.42843,10447.93571,11165.27633,11441.99702,10227.73677,10479.29634,11814.09994,14880.47154,17260.90151,18169.18091,19726.1265,23841.31792,27501.81027,24633.79785,23437.47202,24985.24827,22532.43564,23357.9392,24202.43084,20873.16111,21650.21276,23601.40278
Life expectancy,Slovenia,SVN,68.97804878,68.97804878,68.97804878,68.62195122,68.66341463,68.36585366,69.01219512,69.36585366,68.91707317,68.36097561,68.6097561,68.83414634,69.05853659,69.40487805,70.16097561,70.35853659,70.30731707,70.55609756,70.70243902,70.85365854,71.10487805,71.20487805,71.05365854,70.54146341,70.90243902,71.35121951,71.80243902,72.00243902,72.44634146,72.70487805,73.20487805,73.35365854,73.30487805,73.25365854,73.40487805,73.95853659,74.45853659,74.70731707,74.80731707,75.0097561,75.41219512,75.75853659,76.00731707,76.85853659,77.20731707,77.61219512,78.08658537,78.56097561,78.76585366,78.97073171,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878,80.77560976,81.17560976,81.17560976
Net migration,Slovenia,SVN,,,-22059,,,,,-14950,,,,,17942,,,,,34686,,,,,68363,,,,,32609,,,,,-17461,,,,,1487,,,,,14998,,,,,39348,,,,,16571,,,,,6002
Population,Slovenia,SVN,1584720,1594131,1603649,1616971,1632114,1649160,1669905,1689528,1704546,1713874,1724891,1738335,1752233,1766697,1776132,1793581,1820249,1842377,1862548,1882599,1901315,1906531,1910334,1922321,1932154,1941641,1965964,1989776,1995196,1996351,1998161,1999429,1996498,1991746,1989443,1989872,1988628,1985956,1981629,1983045,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388
GDP per capita,Sweden,SWE,1983.106544,2147.229311,2315.846527,2492.545346,2758.943466,3007.597978,3240.611037,3490.550337,3683.313694,3972.002749,4669.438672,5060.342739,5942.148771,7198.271657,7975.850516,9974.657321,10715.03809,11287.19913,12442.57512,14667.40312,16856.76109,15366.66859,13545.25912,12430.45893,12914.33068,13474.16135,17727.49533,21485.29387,24188.76594,25300.39512,30162.31577,31374.11699,32338.50395,24080.89967,25747.24169,29914.33175,32587.2641,29897.79263,30143.62746,30577.08177,29283.00505,26969.24457,29571.70446,36961.42537,42442.22045,43085.35315,46256.4716,53324.37937,55746.84238,46207.0592,52132.91853,59666.07202,57197.19931,60347.68749,59241.60638,50832.55271,51617.54035,53253.47664
Life expectancy,Sweden,SWE,73.00560976,73.47439024,73.3504878,73.55536585,73.73317073,73.86170732,74.07853659,74.12243902,73.97292683,74.08487805,74.64926829,74.62390244,74.71804878,74.86731707,74.9804878,74.98463415,74.96926829,75.3797561,75.46902439,75.52414634,75.74097561,76.02609756,76.32731707,76.55170732,76.81585366,76.66780488,76.93121951,77.09219512,76.97926829,77.72682927,77.53682927,77.66682927,77.99878049,78.0604878,78.6502439,78.7404878,78.95902439,79.19756098,79.33902439,79.44146341,79.64390244,79.79512195,79.84634146,80.09512195,80.49756098,80.54634146,80.74878049,80.9,81.1,81.35121951,81.45121951,81.80243902,81.70487805,81.95609756,82.25365854,82.20487805,82.30731707,82.30731707
Net migration,Sweden,SWE,,,80351,,,,,130980,,,,,18798,,,,,88567,,,,,29799,,,,,134569,,,,,156460,,,,,58470,,,,,141723,,,,,262453,,,,,253958,,,,,200000
Population,Sweden,SWE,7484656,7519998,7561588,7604328,7661354,7733853,7807797,7867931,7912273,7968072,8042801,8098334,8122300,8136312,8159955,8192437,8222286,8251540,8275599,8293678,8310531,8320503,8325263,8329033,8336605,8350386,8369829,8397804,8436489,8492964,8558835,8617375,8668067,8718561,8780745,8826939,8840998,8846062,8850974,8857874,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698
GDP per capita,Eswatini,SWZ,100.4546687,120.3660327,125.6086968,144.7681512,169.8942409,179.4900074,191.5795605,181.7385228,189.0330318,243.1291725,251.5828166,297.5661504,310.7410615,456.0620709,527.0302488,557.61997,511.1251738,552.6956727,600.142673,704.0187202,898.285823,919.9497077,840.9650581,843.5656607,727.1958126,512.0161264,611.7138445,761.8758664,864.5281119,836.952679,1294.100335,1305.456157,1418.011062,1468.799,1507.042512,1768.314513,1632.530935,1709.868987,1536.930273,1480.338095,1637.450072,1437.634908,1324.996184,2020.993994,2529.633535,2873.862091,2937.360743,3047.488037,2842.43853,3032.517049,3690.239228,3934.273373,3864.760436,3587.000316,3379.896499,3047.946756,2842.257229,3242.751065
Life expectancy,Eswatini,SWZ,44.285,44.584,44.871,45.155,45.446,45.762,46.118,46.522,46.979,47.487,48.041,48.628,49.232,49.84,50.448,51.057,51.674,52.307,52.963,53.64,54.348,55.098,55.881,56.677,57.46,58.208,58.9,59.505,59.983,60.292,60.369,60.155,59.639,58.836,57.771,56.464,54.942,53.285,51.594,49.968,48.521,47.352,46.508,46.018,45.905,46.185,46.846,47.805,48.969,50.26,51.598,52.912,54.158,55.296,56.287,57.107,57.754,58.268
Net migration,Eswatini,SWZ,,,-9908,,,,,-9472,,,,,-7872,,,,,-9472,,,,,-14496,,,,,17149,,,,,-38243,,,,,-12000,,,,,-46077,,,,,-6000,,,,,-6000,,,,,-9999
Population,Eswatini,SWZ,349174,357453,365636,373897,382469,391546,401183,411352,422140,433588,445729,458605,472230,486561,501512,517024,533214,550118,567559,585344,603372,621276,639237,658320,679976,705085,734243,766707,800456,832682,861373,885623,906034,924025,941774,960792,981764,1003995,1026009,1045629,1061468,1072927,1080930,1087392,1095053,1105873,1120514,1138434,1158897,1180675,1202843,1225258,1248158,1271456,1295097,1319011,1343098,1367254
GDP per capita,Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life expectancy,Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54390244,74.53658537,75.58780488,,,73.05365854,,,,,
Net migration,Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31240,31084,30519,30600,30777,31472,32488,33011,33441,33811,33964,34238,34056,33435,34640,36607,37685,38824,39969,41109
GDP per capita,Seychelles,SYC,288.0581594,270.2796606,287.0447884,308.1952644,332.3050031,328.484901,337.6462466,333.2338125,314.3510648,314.1798528,343.8811821,401.6080395,546.9510613,648.5319241,744.5069419,806.2326445,814.474738,1044.353068,1376.546579,2030.135903,2329.353358,2419.034419,2296.307729,2280.451551,2338.075652,2588.552804,3165.945038,3638.988011,4128.118232,4407.20094,5302.843727,5314.663128,6128.445569,6559.129994,6555.504407,6748.931109,6583.201018,7280.989621,7715.918147,7747.612159,7578.851053,7663.13708,8331.261997,8524.961236,10176.65871,11092.51074,12014.39987,12154.82994,11122.86207,9706.95606,10804.68447,12189.09516,12006.64168,14765.68233,14700.36313,14745.31375,15077.84844,15629.30594
Life expectancy,Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,69.59756098,70.18780488,69.32439024,70.38292683,69.55365854,69.69756098,68.65609756,68.23658537,68.70243902,67.97073171,68.10731707,70.71219512,71.21463415,69.46829268,70.72926829,72.48292683,71.56097561,71.21219512,71.74634146,72.66829268,72.77804878,73.25365854,71.08780488,71.02926829,72.66097561,72.13170732,72.21707317,73.14390244,73.16341463,73.08292683,73.19756098,72.72439024,74.27560976,73.1195122,73.22926829,74.29512195,74.3097561,74.3
Net migration,Seychelles,SYC,,,-851,,,,,-998,,,,,230,,,,,-200,,,,,-3099,,,,,-5295,,,,,625,,,,,-135,,,,,2513,,,,,-2511,,,,,-2201,,,,,-1000
Population,Seychelles,SYC,41700,42889,44042,45176,46322,47500,48699,49911,51134,52365,53600,54695,56029,56892,57937,59292,60504,61786,62150,62686,63261,64035,64413,64335,64717,65244,65652,68499,68755,69167,69507,70439,70763,72253,74205,75304,76417,77319,78846,80410,81131,81202,83723,82781,82475,82858,84600,85033,86956,87298,89770,87441,88303,89949,91359,93419,94677,95843
GDP per capita,Syrian Arab Republic,SYR,187.5373743,200.1833569,227.7886639,238.4373061,257.5784123,273.9622218,241.7122448,275.2673093,295.4494159,365.6937642,337.0395839,394.1421481,449.9439294,460.295068,708.4212256,905.9500887,979.3277657,954.7632405,1112.612528,1151.175406,1462.630341,1677.126244,1699.532805,1769.740953,1700.476019,1540.436791,1208.004425,999.5919067,902.5495583,815.6485164,988.9486722,1013.001286,1005.041364,1009.716411,725.6085921,794.445153,934.5505657,955.7091761,974.2751917,991.1204287,1177.629268,1258.421953,1263.013455,1253.391403,1408.852738,1577.457182,1762.246107,2058.035209,,,,,,,,,,
Life expectancy,Syrian Arab Republic,SYR,51.971,52.568,53.176,53.797,54.435,55.096,55.788,56.51,57.26,58.03,58.814,59.6,60.378,61.137,61.872,62.579,63.258,63.914,64.552,65.172,65.774,66.359,66.928,67.477,68.005,68.508,68.981,69.423,69.831,70.207,70.553,70.871,71.167,71.444,71.708,71.961,72.205,72.439,72.664,72.882,73.11,73.371,73.663,73.967,74.25,74.43,74.412,74.152,73.648,72.939,72.108,71.27,70.549,70.046,69.817,69.904,70.31,70.963
Net migration,Syrian Arab Republic,SYR,,,-16000,,,,,-16000,,,,,-81501,,,,,-161672,,,,,-87001,,,,,-146501,,,,,-70000,,,,,-130000,,,,,-379910,,,,,370000,,,,,-4157896,,,,,-1240000
Population,Syrian Arab Republic,SYR,4573512,4721896,4875422,5034646,5200336,5373137,5553246,5740710,5935860,6139048,6350541,6570857,6800141,7037851,7283177,7535714,7794662,8060649,8336418,8625690,8930774,9252851,9590227,9938847,10293049,10648632,11004272,11360852,11719071,12080444,12446171,12815219,13187085,13564167,13949697,14345492,14755286,15177456,15602210,16016092,16410848,16766899,17087901,17415266,17806638,18294611,18914977,19632806,20325443,20824893,21018834,20863993,20420701,19809141,19203090,18734987,18430453,18269868
GDP per capita,Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life expectancy,Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net migration,Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,Turks and Caicos Islands,TCA,5726,5763,5763,5740,5710,5672,5629,5590,5559,5571,5633,5756,5922,6126,6346,6548,6723,6886,7053,7264,7519,7858,8244,8669,9095,9506,9875,10224,10582,11017,11552,12206,12968,13789,14597,15332,15966,16528,17115,17864,18873,20185,21742,23410,25028,26448,27642,28640,29481,30245,30994,31731,32431,33108,33739,34339,34900,35446
GDP per capita,Chad,TCD,104.4721012,109.1296064,114.5821737,116.777461,120.8214734,125.9758594,128.3431507,130.9610115,129.7326181,132.170943,128.7938591,134.6898749,153.4499975,165.624471,163.1531037,211.5002694,207.5736383,219.8784403,256.9214321,227.1841247,228.9434367,190.2181764,176.9533405,172.3751507,185.5258783,202.8994616,203.6671801,215.1272438,265.4919945,248.554947,291.8661593,305.2216778,296.3964872,223.2061727,174.2195487,206.5386927,221.9742723,206.1441026,224.8661479,190.8359826,166.0231785,197.3156442,220.8054821,292.5914364,454.6765879,660.2421396,712.1847694,801.683884,929.7702391,804.4559039,896.5697341,989.2363633,973.4702574,986.0103177,1025.998515,781.3310573,698.2108863,662.5001146
Life expectancy,Chad,TCD,38.019,38.279,38.536,38.795,39.061,39.346,39.666,40.028,40.432,40.872,41.332,41.792,42.233,42.638,43.003,43.327,43.619,43.892,44.161,44.43,44.704,44.986,45.269,45.55,45.824,46.082,46.315,46.52,46.692,46.835,46.952,47.053,47.148,47.243,47.339,47.431,47.505,47.556,47.582,47.59,47.593,47.603,47.638,47.716,47.848,48.054,48.349,48.729,49.182,49.691,50.233,50.778,51.3,51.778,52.204,52.575,52.903,53.208
Net migration,Chad,TCD,,,-5000,,,,,-40950,,,,,-49050,,,,,-175500,,,,,-131245,,,,,1418,,,,,-10374,,,,,69444,,,,,218966,,,,,75000,,,,,100000,,,,,10000
Population,Chad,TCD,3001593,3060355,3121216,3183551,3246505,3309573,3372170,3434811,3499352,3568376,3643549,3726091,3815103,3907632,3999512,4087948,4172230,4253989,4335645,4420716,4512042,4610167,4715197,4829094,4954046,5091535,5243006,5408087,5584339,5768086,5956859,6150081,6349089,6555603,6772133,7000722,7241134,7493251,7759258,8041846,8342559,8663012,9001689,9353201,9710043,10067009,10421597,10775708,11133861,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543,14899994
GDP per capita,East Asia & Pacific (IDA & IBRD countries),TEA,90.75021575,79.72266032,72.09774249,76.11265866,86.11961778,98.04150311,104.3892354,98.544,96.87785604,105.8605663,114.8244497,120.1725234,132.9706533,163.519223,180.5048069,199.0299417,198.4979558,225.7278038,215.1051581,245.2595534,278.7009483,292.8066769,302.1112404,311.7225551,333.0876146,359.2190919,352.2223936,341.8248532,372.5698079,395.9878257,417.6446468,446.450128,493.3606957,534.5008811,634.6708462,773.5646908,877.7585402,898.4194107,814.1429433,886.1468905,965.7621815,1017.941865,1116.676237,1253.316908,1441.730907,1656.848533,1980.2379,2485.911169,3124.285159,3364.529079,4051.867383,4917.929165,5446.809268,5968.185535,6370.64783,6579.686088,6648.457336,7201.538993
